LandValue,BuildingValue,Acres,AboveSpace,Basement,Deck,Baths,Toilets,Fireplaces,Beds,Rooms,AC,Age,Car,Condition,Price
15400,32500,0.29,1164,0,0,1,0,0,3,4,1,83.6,0,Good,88688
15900,112000,0.3,1546,0,0,1,0,0,3,3,0,57.1,432,Average,135000
13600,59600,0.17,1080,0,0,1,0,0,2,3,1,90.3,0,Good,83496
19500,147600,0.53,1520,680,980,2,1,1,2,5,1,28.2,396,Average,149000
24300,139600,0.92,1396,700,0,1,0,0,4,2,1,38.1,0,Good,159000
23200,110100,0.23,1324,0,98,1,0,1,3,2,1,22.2,0,Good,143500
23700,121800,0.23,1034,686,0,2,1,1,3,2,1,19.1,308,Average,126000
24400,132000,0.25,1398,0,0,2,1,1,3,3,1,14.2,550,Average,146000
22500,102500,0.18,1105,250,100,2,0,0,3,2,1,17.5,0,Average,132639
33800,97400,0.36,1129,0,96,2,0,0,3,3,1,60.4,0,Good,113554
19800,60700,0.16,816,0,0,1,0,0,2,2,1,87.5,0,Good,86836
23900,66800,0.21,768,0,0,1,0,0,2,2,1,84.5,0,Good,99678
20900,68800,0.24,864,0,192,1,0,1,3,2,0,53.5,0,Good,74430
20400,69900,0.22,875,0,215,1,0,0,2,3,1,72.2,0,Good,88500
22700,95000,0.25,1040,0,0,1,1,0,3,2,1,55.6,0,Good,110860
20400,90300,0.19,1141,600,0,1,1,0,3,3,0,62.5,0,Average,115584
23800,80600,0.36,945,0,140,1,0,0,3,2,1,38.5,0,Average,90375
16600,50600,0.15,988,0,0,1,0,0,2,3,1,84.2,0,Poor,85000
20200,63600,0.21,960,0,0,1,0,0,3,2,1,92.6,0,Good,96400
13400,74900,0.2,816,0,0,1,0,0,2,2,1,49.6,0,Poor,43380
7400,71600,0.08,912,400,48,2,0,1,3,2,1,29.7,0,Average,86760
23200,86000,0.24,905,600,110,1,0,0,3,2,1,33.2,0,Average,113077
25300,90000,0.35,925,730,0,2,0,0,5,1,1,32.1,0,Good,133500
33600,32400,0.25,792,0,0,1,0,0,1,3,0,106.4,0,Poor,94469
